"","COD_INE","Municipio","Poblacion"
"748","25906","Valls d'Aguilar, Les",245
"749","25239","Valls de Valira, Les",784
"750","25909","Vansa i Fórnols, La",149
"751","25242","Verdú",902
"752","25243","Vielha e Mijaran",5611
"753","25244","Vilagrassa",560
"754","25245","Vilaller",549
"755","25247","Vilamòs",178
"756","25248","Vilanova de Bellpuig",1183
"757","25254","Vilanova de la Barca",1088
"758","25249","Vilanova de l'Aguda",200
"759","25250","Vilanova de Meià",415
"760","25251","Vilanova de Segrià",985
"761","25252","Vila-sana",734
"762","25253","Vilosell, El",173
"763","25255","Vinaixa",450
"764","43001","Aiguamúrcia",930
"765","43002","Albinyana",2468
"766","43003","Albiol, L'",500
"767","43004","Alcanar",9434
"768","43005","Alcover",5144
"769","43904","Aldea, L'",4147
"770","43006","Aldover",905
"771","43007","Aleixar, L'",893
"772","43008","Alfara de Carles",376
"773","43009","Alforja",1783
"774","43010","Alió",458
"775","43011","Almoster",1341
"776","43012","Altafulla",5307
"777","43013","Ametlla de Mar, L'",6866
"778","43906","Ampolla, L'",3277
"779","43014","Amposta",21115
"780","43016","Arboç, L'",5609
"781","43015","Arbolí",127
"782","43017","Argentera, L'",117
"783","43018","Arnes",444
"784","43019","Ascó",1644
"785","43020","Banyeres del Penedès",3207
"786","43021","Barberà de la Conca",471
"787","43022","Batea",1901
"788","43023","Bellmunt del Priorat",273
"789","43024","Bellvei",2237
"790","43025","Benifallet",723
"791","43026","Benissanet",1140
"792","43027","Bisbal de Falset, La",211
"793","43028","Bisbal del Penedès, La",3631
"794","43029","Blancafort",382
"795","43030","Bonastre",685
"796","43031","Borges del Camp, Les",2056
"797","43032","Bot",554
"798","43033","Botarell",1077
"799","43034","Bràfim",695
"800","43035","Cabacés",302
"801","43036","Cabra del Camp",1175
"802","43037","Calafell",27601
"803","43903","Camarles",3194
"804","43038","Cambrils",34734
"805","43907","Canonja, La",5956
"806","43039","Capafonts",111
"807","43040","Capçanes",392
"808","43041","Caseres",237
"809","43042","Castellvell del Camp",2828
"810","43043","Catllar, El",4557
"811","43045","Colldejou",168
"812","43046","Conesa",100
"813","43047","Constantí",6665
"814","43048","Corbera d'Ebre",1003
"815","43049","Cornudella de Montsant",944
"816","43050","Creixell",3758
"817","43051","Cunit",13533
"818","43901","Deltebre",11578
"819","43053","Duesaigües",244
"820","43054","Espluga de Francolí, L'",3736
"821","43055","Falset",2735
"822","43056","Fatarella, La",926
"823","43057","Febró, La",40
"824","43058","Figuera, La",114
"825","43059","Figuerola del Camp",329
"826","43060","Flix",3410
"827","43061","Forès",43
"828","43062","Freginals",385
"829","43063","Galera, La",736
"830","43064","Gandesa",3096
"831","43065","Garcia",527
"832","43066","Garidells, Els",190
