"","X","COD_INE","Municipio","Poblacion"
"595",595,25071,"Cava",45
"596",596,25072,"Cervera",9350
"597",597,25073,"Cervià de les Garrigues",662
"598",598,25074,"Ciutadilla",208
"599",599,25075,"Clariana de Cardener",161
"600",600,25076,"El Cogul",151
"601",601,25077,"Coll de Nargó",540
"602",602,25163,"La Coma i la Pedra",255
"603",603,25161,"Conca de Dalt",410
"604",604,25078,"Corbins",1462
"605",605,25079,"Cubells",338
"606",606,25081,"L'Espluga Calba",329
"607",607,25082,"Espot",366
"608",608,25088,"Estamariu",125
"609",609,25085,"Estaràs",156
"610",610,25086,"Esterri d'Àneu",804
"611",611,25087,"Esterri de Cardós",64
"612",612,25089,"Farrera",108
"613",613,25908,"Fígols i Alinyà",244
"614",614,25092,"La Floresta",140
"615",615,25093,"Fondarella",776
"616",616,25094,"Foradada",203
"617",617,25096,"La Fuliola",1250
"618",618,25097,"Fulleda",102
"619",619,25098,"Gavet de la Conca",261
"620",620,25912,"Gimenells i el Pla de la Font",1120
"621",621,25099,"Golmés",1855
"622",622,25100,"Gósol",206
"623",623,25101,"La Granadella",716
"624",624,25102,"La Granja d'Escarp",922
"625",625,25103,"Granyanella",143
"626",626,25105,"Granyena de les Garrigues",140
"627",627,25104,"Granyena de Segarra",151
"628",628,25109,"Guimerà",271
"629",629,25903,"La Guingueta d'Àneu",289
"630",630,25110,"Guissona",7248
"631",631,25111,"Guixers",132
"632",632,25115,"Isona i Conca Dellà",1042
"633",633,25112,"Ivars de Noguera",332
"634",634,25113,"Ivars d'Urgell",1537
"635",635,25114,"Ivorra",108
"636",636,25910,"Josa i Tuixén",103
"637",637,25118,"Juncosa",395
"638",638,25119,"Juneda",3501
"639",639,25121,"Les",971
"640",640,25122,"Linyola",2717
"641",641,25123,"Lladorre",237
"642",642,25124,"Lladurs",180
"643",643,25125,"Llardecans",444
"644",644,25126,"Llavorsí",346
"645",645,25120,"Lleida",140403
"646",646,25127,"Lles de Cerdanya",270
"647",647,25128,"Llimiana",146
"648",648,25129,"Llobera",188
"649",649,25133,"Maials",909
"650",650,25130,"Maldà",227
"651",651,25131,"Massalcoreig",610
"652",652,25132,"Massoteres",212
"653",653,25134,"Menàrguens",813
"654",654,25135,"Miralcamp",1385
"655",655,25137,"Mollerussa",14649
"656",656,25136,"La Molsosa",104
"657",657,25139,"Montellà i Martinet",578
"658",658,25140,"Montferrer i Castellbò",1034
"659",659,25138,"Montgai",643
"660",660,25142,"Montoliu de Lleida",483
"661",661,25141,"Montoliu de Segarra",187
"662",662,25143,"Montornès de Segarra",96
"663",663,25145,"Nalec",90
"664",664,25025,"Naut Aran",1836
"665",665,25146,"Navès",284
"666",666,25148,"Odèn",258
"667",667,25149,"Oliana",1843
"668",668,25150,"Oliola",203
"669",669,25151,"Olius",981
"670",670,25152,"Les Oluges",171
"671",671,25153,"Els Omellons",206
"672",672,25154,"Els Omells de na Gaia",130
"673",673,25155,"Organyà",771
"674",674,25156,"Os de Balaguer",980
"675",675,25157,"Ossó de Sió",203
"676",676,25158,"El Palau d'Anglesola",2166
"677",677,25164,"Penelles",436
"678",678,25165,"Peramola",347
"679",679,25166,"Pinell de Solsonès",193
"680",680,25167,"Pinós",286
"681",681,25911,"Els Plans de Sió",491
"682",682,25168,"El Poal",670
"683",683,25169,"La Pobla de Cérvoles",189
"684",684,25171,"La Pobla de Segur",3043
"685",685,25030,"El Pont de Bar",152
"686",686,25173,"El Pont de Suert",2257
"687",687,25172,"Ponts",2644
"688",688,25174,"La Portella",743
"689",689,25175,"Prats i Sansor",222
"690",690,25176,"Preixana",387
"691",691,25177,"Preixens",418
"692",692,25179,"Prullans",226
"693",693,25180,"Puiggròs",278
"694",694,25181,"Puigverd d'Agramunt",229
"695",695,25182,"Puigverd de Lleida",1349
"696",696,25183,"Rialp",641
"697",697,25905,"Ribera d'Ondara",433
"698",698,25185,"Ribera d'Urgellet",932
"699",699,25186,"Riner",263
"700",700,25913,"Riu de Cerdanya",93
"701",701,25189,"Rosselló",3237
"702",702,25190,"Salàs de Pallars",327
"703",703,25191,"Sanaüja",379
"704",704,25196,"Sant Esteve de la Sarga",122
"705",705,25192,"Sant Guim de Freixenet",1037
"706",706,25197,"Sant Guim de la Plana",181
"707",707,25193,"Sant Llorenç de Morunys",960
