"","house.price","RP","crime","built.area","age","retired","children","immigrants","shopping","historical","baths","type.house","floor","good.cond","garage","elevator","air.cond","swimming.pool","M.30","longitude","latitude"
"5588",3883,0.36,0.66,186,32.0015333808674,22.7526510007271,10.208239022182,9.66020549542505,1,1,3,"piso","cuar.-quinta","bueno","ZZZ","si","no","no",1,-3.695934,40.423024
"3729",5077,0.44,0.55,65,7,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"piso","cuar.-quinta","bueno","si","si","si","si",0,-3.687379,40.4005
"398",3210,0.38,0.16,114,25,20.7824152819573,12.6403244799163,13.4305900824284,0,0,2,"piso","sexta_o_mas","bueno","no","si","no","no",0,-3.5644816,40.497697
"6222",2733,0.21,0.47,45,35,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","seg.-terc.","a_reformar","no","no","no","no",0,-3.74554,40.406952
"11475",3056,0.26,0.41,75,40,20.7824152819573,12.6403244799163,13.4305900824284,0,0,1,"piso","sexta_o_mas","bueno","si","si","no","no",0,-3.655035,40.421697
"415",1525,0.11,0.28,115,35,21.8191401950297,11.6618606886501,13.9478008774786,0,0,2,"piso","sexta_o_mas","bueno","si","si","no","si",0,-3.763894,40.383466
"357",3828,0.39,0.43,64,12.6301762653022,21.3085529446878,11.4343101904508,6.06361267736289,1,1,1,"estudio","bajo","bueno","si","si","ZZZ","ZZZ",0,-3.672094,40.402091
"27",4127,0.22,0.51,63,0,18.6782268954326,13.431372167504,17.8368933701206,0,0,1,"atico","cuar.-quinta","bueno","no","si","no","no",0,-3.7334728,40.379564
"9966",3000,0.3,0.61,100,16.0235411499939,18.6782268954326,13.431372167504,17.8368933701206,0,0,2,"piso","primera","bueno","si","si","ZZZ","ZZZ",0,-3.724369,40.402946
"10616",2390,0.27,0.41,63,0,19.5566137701235,11.1810440577564,17.5599075693549,0,0,2,"piso","ZZZ","bueno","no","si","si","no",0,-3.7018392,40.474092
"9785",2320,0.47,0.75,78,25.044970976975,17.6805558506683,14.7617732259595,20.543385107905,0,0,1,"piso","seg.-terc.","bueno","ZZZ","no","no","no",0,-3.691113,40.374055
