152,CATALUÑA,C-66,TRABAJOS DE MANTENIMIENTO,2021/02/01 10:25:00,TRAM  CORNELLÀ DEL TERRI - SERINYÀ,GI,VERDE,50.4,41.9,BORGONYA,GIRONA,GI101288243,AMBOS SENTIDOS,OBRAS,0,2,42.0952251,id-incidencia-1.152,incidencia,\"\",\"\",2.8006438,2.8006438,42.0952251,2021/02/05 14:30:00
153,CATALUÑA,A-26,TRABAJOS DE MANTENIMIENTO,2021/02/03 09:31:00,\"\",GI,VERDE,79.0,77.0,CASTELLFOLLIT DE LA ROCA,GIRONA,GI102028176,AMBOS SENTIDOS,OBRAS,0,5,42.2177788,id-incidencia-1.153,incidencia,\"\",\"\",2.5653871,2.5653871,42.2177788,2021/02/05 14:30:00
154,CATALUÑA,C-31,REASFALTADO,2021/01/31 17:32:00,\"\",GI,VERDE,5.0,2.0,\"\",GIRONA,GI101319031,AMBOS SENTIDOS,OBRAS,2,1,0.0,id-incidencia-1.154,incidencia,\"\",\"\",0.0,0.0,0.0,2021/02/05 14:30:00
155,CATALUÑA,C-35,TRABAJOS DE MANTENIMIENTO,2021/01/25 09:11:00,\"\",GI,VERDE,73.5,60.0,HOSTALRIC,GIRONA,GI101258107,AMBOS SENTIDOS,OBRAS,0,1,41.7210899,id-incidencia-1.155,incidencia,\"\",\"\",2.5546479,2.5546479,41.7210899,2021/02/05 14:30:00
156,CATALUÑA,GI-633,REASFALTADO,2021/02/03 17:22:00,SANT JORDI DESVALLS,GI,VERDE,6.3,0.0,MEDINYA,GIRONA,GI102038214,AMBOS SENTIDOS,OBRAS,0,1,42.05444,id-incidencia-1.156,incidencia,\"\",\"\",2.87728,2.87728,42.05444,2021/02/05 14:30:00
157,CATALUÑA,GI-623,OBRAS EN GENERAL,2021/01/25 09:11:00,\"\",GI,VERDE,20.0,0.0,ORRIOLS,GIRONA,GI101259116,AMBOS SENTIDOS,OBRAS,0,1,42.13049,id-incidencia-1.157,incidencia,\"\",\"\",2.90459,2.90459,42.13049,2021/02/05 14:30:00
158,CATALUÑA,GI-664,OBRAS EN GENERAL,2021/01/26 08:26:00,\"\",GI,VERDE,23.0,22.0,PUIGVENTOS,GIRONA,GI101268093,AMBOS SENTIDOS,OBRAS,0,2,41.9593468,id-incidencia-1.158,incidencia,\"\",\"\",3.0251647,3.0251647,41.9593468,2021/02/05 14:30:00
159,CATALUÑA,C-25,REASFALTADO,2021/01/24 17:45:00,LLEIDA,GI,VERDE,207.5,207.0,SANT HILARI SACALM,GIRONA,GI012249023,ESTE,OBRAS,0,4,41.8489748,id-incidencia-1.159,incidencia,\"\",\"\",2.4750854,2.4750854,41.8489748,2021/02/05 14:30:00
160,CATALUÑA,N-260,TRABAJOS DE MANTENIMIENTO,2021/02/03 14:02:00,\"\",GI,VERDE,106.8,106.8,SANT JOAN DE LES ABADESSES,GIRONA,GI101139126,AMBOS SENTIDOS,OBRAS,0,12,42.2351072,id-incidencia-1.160,incidencia,\"\",\"\",2.2821969,2.2821969,42.2351072,2021/02/05 14:30:00
161,CATALUÑA,GI-524,REASFALTADO,2021/01/21 16:07:00,BANYOLES,GI,VERDE,32.1,21.7,SANT MIQUEL DE CAMPMAJOR,GIRONA,GI101218195,AMBOS SENTIDOS,OBRAS,0,1,42.1305202,id-incidencia-1.161,incidencia,\"\",\"\",2.6669912,2.6669912,42.1305202,2021/02/05 14:30:00
